player,position,team,birthday
KJ Hamler,WR,DEN,1999-07-08
Michael Gallup,WR,DAL,1996-03-04
Chad Hansen,WR,FA,1995-01-18
Gabriel Davis,WR,BUF,1999-04-01
Denzel Mims,WR,NYJ,1997-10-10
Peyton Barber,RB,WAS,1994-06-27
Cam Newton,QB,NE,1989-05-11
Matt Breida,RB,BUF,1995-02-28
Jonnu Smith,TE,NE,1995-08-22
Marquez Valdes-Scantling,WR,GB,1994-10-10
Laviska Shenault Jr.,WR,JAC,1998-10-05
Mike Williams,WR,LAC,1994-10-04
Keelan Cole Sr.,WR,NYJ,1993-04-20
Ronald Jones II,RB,TB,1997-08-03
Darrel Williams,RB,KC,1995-04-15
Breshad Perriman,WR,DET,1993-09-10
Adrian Peterson,RB,DET,1985-03-21
Rashard Higgins,WR,CLE,1994-10-07
Teddy Bridgewater,QB,CAR,1992-11-10
Dare Ogunbowale,RB,JAC,1994-05-04
A.J. Green,WR,ARI,1988-07-31
Jared Cook,TE,LAC,1987-04-07
Harrison Butker,K,KC,1995-07-14
Justin Tucker,K,BAL,1989-11-21
Wil Lutz,K,NO,1994-07-07
Younghoe Koo,K,ATL,1994-08-03
Ryan Succop,K,TB,1986-09-19
Jason Sanders,K,MIA,1995-11-16
Philip Rivers,QB,IND,1981-12-08
Zach Ertz,TE,PHI,1990-11-10
Ka'imi Fairbairn,K,HOU,1994-01-29
Dalton Schultz,TE,DAL,1996-07-11
Devontae Booker,RB,NYG,1992-05-27
Derek Carr,QB,LV,1991-03-28
Jerick McKinnon,RB,SF,1992-05-03
John Brown,WR,LV,1990-04-03
Mecole Hardman,WR,KC,1998-03-12
Greg Zuerlein,K,DAL,1987-12-27
Brian Hill,RB,ATL,1995-11-09
Henry Ruggs III,WR,LV,1999-01-24
Christian McCaffrey,RB,CAR,1996-06-07
Drew Lock,QB,DEN,1996-11-10
Hunter Renfrow,WR,LV,1995-12-21
Antonio Gibson,RB,WAS,1998-06-23
George Kittle,TE,SF,1993-10-09
Alexander Mattison,RB,MIN,1998-06-19
Clyde Edwards-Helaire,RB,KC,1999-04-11
Jordan Wilkins,RB,IND,1994-07-18
Jason Myers,K,SEA,1991-05-12
Tevin Coleman,RB,NYJ,1993-04-16
Kerryon Johnson,RB,DET,1997-06-30
Joshua Kelley,RB,LAC,1997-11-20
Mason Crosby,K,GB,1984-09-03
Jordan Reed,TE,SF,1990-07-03
Lynn Bowden Jr.,RB,MIA,1997-10-14
Tyler Bass,K,BUF,1997-02-14
Damien Harris,RB,NE,1997-02-11
Tyler Higbee,TE,LAR,1993-01-01
Joe Mixon,RB,CIN,1996-07-24
Cody Parkey,K,CLE,1992-02-19
Darrynton Evans,RB,TEN,1998-07-09
Tyron Johnson,WR,LAC,1996-01-08
Duke Johnson Jr.,RB,FA,1993-09-23
Andy Dalton,QB,CHI,1987-10-29
Josh Reynolds,WR,TEN,1989-04-13
Cam Akers,RB,LAR,1999-06-22
Cairo Santos,K,CHI,1991-11-12
Zach Pascal,WR,IND,1994-12-18
Daniel Carlson,K,LV,1995-01-23
Devine Ozigbo,RB,JAC,1996-10-02
LeSean McCoy,RB,TB,1988-07-12
Alfred Morris,RB,NYG,1988-12-12
Ty Johnson,RB,NYJ,1997-09-17
Jalen Richard,RB,LV,1993-10-15
Greg Ward,WR,PHI,1995-07-12
Golden Tate,WR,FA,1988-08-02
Tre'Quan Smith,WR,NO,1996-01-07
Daniel Jones,QB,NYG,1997-05-27
Rodrigo Blankenship,K,IND,1997-01-29
Cole Kmet,TE,CHI,1999-03-10
Irv Smith Jr.,TE,MIN,1998-08-09
Samaje Perine,RB,CIN,1995-09-16
Jordan Akins,TE,HOU,1992-04-19
Kenny Golladay,WR,NYG,1993-11-03
Danny Amendola,WR,DET,1985-11-02
Gardner Minshew II,QB,JAC,1996-05-16
Kendrick Bourne,WR,NE,1995-08-04
Anthony Miller,WR,CHI,1994-10-09
James Washington,WR,PIT,1996-04-02
Mike Nugent,K,ARI,1982-03-02
Jaylen Samuels,RB,PIT,1996-07-20
La'Mical Perine,RB,NYJ,1998-01-30
Marcus Mariota,QB,LV,1993-10-30
Trayveon Williams,RB,CIN,1997-10-18
Justin Jackson,RB,LAC,1996-04-22
Rodney Smith,RB,CAR,1996-02-28
Matt Prater,K,ARI,1984-08-10
Taysom Hill,QB,NO,1990-08-23
Carson Wentz,QB,IND,1992-12-30
Dan Arnold,TE,CAR,1995-03-15
Robbie Gould,K,SF,1982-12-06
Jake Elliott,K,PHI,1995-01-21
Donovan Peoples-Jones,WR,CLE,1999-02-19
Chris Boswell,K,PIT,1991-03-16
Sam Darnold,QB,NYJ,1997-06-05
Demarcus Robinson,WR,KC,1994-09-21
Joey Slye,K,CAR,1996-04-10
Zane Gonzalez,K,FA,1995-05-07
Michael Badgley,K,LAC,1995-07-28
Larry Fitzgerald,WR,ARI,1983-08-31
Mark Ingram II,RB,HOU,1989-12-21
Anthony McFarland Jr.,RB,PIT,1998-03-04
Alshon Jeffery,WR,FA,1990-02-14
Stephen Gostkowski,K,TEN,1984-01-28
Matt Gay,K,LAR,1994-03-15
Mohamed Sanu,WR,SF,1989-08-22
Jalen Guyton,WR,LAC,1997-06-07
Buddy Howell,RB,HOU,1996-03-27
Willie Snead IV,WR,LV,1992-10-17
Trey Burton,TE,IND,1991-10-29
Patrick Laird,RB,MIA,1995-08-17
Richie James Jr.,WR,SF,1995-09-05
Mike Gesicki,TE,MIA,1995-10-03
Alec Ingold,RB,LV,1996-07-09
Devonta Freeman,RB,BUF,1992-03-15
Travis Fulgham,WR,PHI,1995-09-13
Rashaad Penny,RB,SEA,1996-02-02
Scotty Miller,WR,TB,1997-07-31
Patrick Ricard,RB,BAL,1994-05-27
Dwayne Haskins,QB,PIT,1997-05-03
Collin Johnson,WR,JAC,1997-09-23
Josh Adams,RB,NYJ,1996-10-29
DeeJay Dallas,RB,SEA,1998-09-16
J.J. Taylor,RB,NE,1998-01-04
Troymaine Pope,RB,LAC,1993-11-29
C.J. Beathard,QB,JAC,1993-11-16
Deebo Samuel,WR,SF,1996-01-15
Royce Freeman,RB,DEN,1996-02-24
N'Keal Harry,WR,NE,1997-12-17
Damiere Byrd,WR,NE,1993-01-27
DeAndre Washington,RB,MIA,1993-02-22
Preston Williams,WR,MIA,1997-03-27
Jimmy Graham,TE,CHI,1986-11-24
Gerald Everett,TE,SEA,1994-06-25
D'Onta Foreman,RB,TEN,1996-04-24
Ryan Finley,QB,HOU,1994-12-26
Mack Hollins,WR,MIA,1993-09-16
Quintez Cephus,WR,DET,1998-04-01
Randall Cobb,WR,HOU,1990-08-22
Nick Foles,QB,CHI,1989-01-20
Ryan Fitzpatrick,QB,WAS,1982-11-24
Cam Sims,WR,WAS,1996-01-06
Jordan Howard,RB,PHI,1994-11-02
Steven Sims,WR,WAS,1997-03-31
D'Ernest Johnson,RB,CLE,1996-02-27
Ryan Nall,RB,CHI,1995-12-27
Malcolm Perry,WR,MIA,1997-04-19
Dez Bryant,WR,BAL,1988-11-04
Jacoby Brissett,QB,MIA,1992-12-11
AJ Dillon,RB,GB,1998-05-02
Ke'Shawn Vaughn,RB,TB,1997-05-04
Tyler Eifert,TE,JAC,1990-09-08
Jeremy McNichols,RB,TEN,1995-12-26
Jacob Hollister,TE,BUF,1993-11-18
David Moore,WR,CAR,1995-01-15
Brandon McManus,K,DEN,1991-07-25
Dustin Hopkins,K,WAS,1990-10-01
Drew Sample,TE,CIN,1996-04-16
Dawson Knox,TE,BUF,1996-11-14
Kyle Juszczyk,RB,SF,1991-04-23
Julian Edelman,WR,NE,1986-05-22
Chris Thompson,RB,JAC,1994-05-09
Travis Homer,RB,SEA,1998-08-07
Dion Lewis,RB,NYG,1990-09-27
Alex Smith,QB,FA,1984-05-07
Tyrod Taylor,QB,HOU,1989-08-03
Mo Alie-Cox,TE,IND,1993-09-19
Jake Luton,QB,JAC,1996-04-11
Durham Smythe,TE,MIA,1995-08-09
Anthony Firkser,TE,TEN,1995-02-19
Adam Shaheen,TE,MIA,1994-10-24
Graham Gano,K,NYG,1987-04-09
Jack Doyle,TE,IND,1990-05-05
Ben DiNucci,QB,DAL,1996-11-24
Cameron Brate,TE,TB,1991-07-03
Chris Herndon IV,TE,NYJ,1996-02-23
James O'Shaughnessy,TE,JAC,1992-01-14
Tyler Conklin,TE,MIN,1995-07-30
Jakeem Grant,WR,MIA,1992-09-30
Will Dissly,TE,SEA,1996-07-08
Ross Dwelley,TE,SF,1995-01-26
Darwin Thompson,RB,KC,1997-02-12
Harrison Bryant,TE,CLE,1998-04-23
Ian Thomas,TE,CAR,1996-06-06
MyCole Pruitt,TE,TEN,1992-03-24
Darren Fells,TE,FA,1986-04-22
Marcus Johnson,WR,TEN,1994-08-05
Kyle Rudolph,TE,NYG,1989-11-09
Andy Isabella,WR,ARI,1996-11-18
Mike Boone,RB,DEN,1995-07-30
Adam Humphries,WR,WAS,1993-06-24
KhaDarel Hodge,WR,CLE,1995-01-03
Reggie Bonnafon,RB,CAR,1996-01-04
Jameis Winston,QB,NO,1994-01-06
Tyler Ervin,RB,GB,1993-10-07
Bryce Love,RB,WAS,1997-07-08
Corey Clement,RB,PHI,1994-11-02
Olabisi Johnson,WR,MIN,1997-03-17
Ty Montgomery,RB,NO,1993-01-22
Olamide Zaccheaus,WR,ATL,1997-07-23
Justice Hill,RB,BAL,1997-11-14
Brandon Allen,QB,CIN,1992-09-05
Van Jefferson,WR,LAR,1996-07-26
Marvin Hall,WR,CLE,1993-04-10
Cordarrelle Patterson,WR,CHI,1991-03-17
Kenny Stills,WR,BUF,1992-04-22
Richard Rodgers,TE,PHI,1992-01-22
Ameer Abdullah,RB,MIN,1993-06-13
Mike Glennon,QB,NYG,1989-12-12
Eno Benjamin,RB,ARI,1999-04-13
Isaiah Ford,WR,FA,1996-02-09
T.J. Yeldon,RB,BUF,1993-10-02
Qadree Ollison,RB,ATL,1996-09-08
Dwayne Washington,RB,NO,1994-04-24
Dontrelle Inman,WR,WAS,1989-01-31
DaeSean Hamilton,WR,DEN,1995-03-10
Braxton Berrios,WR,NYJ,1995-10-06
Bryan Edwards,WR,LV,1998-11-13
Marquez Callaway,WR,NO,1998-03-27
DeSean Jackson,WR,LAR,1986-12-01
John Ross,WR,NYG,1995-11-27
Dontrell Hilliard,RB,HOU,1995-02-26
David Njoku,TE,CLE,1996-07-10
Miles Boykin,WR,BAL,1996-10-12
Devin Duvernay,WR,BAL,1997-09-12
Joe Flacco,QB,PHI,1985-01-16
John Kelly,RB,CLE,1996-10-04
Jarrett Stidham,QB,NE,1996-08-08
Jace Sternberger,TE,GB,1996-06-26
Jeff Smith,WR,NYJ,1997-04-21
Josh Gordon,WR,SEA,1991-04-13
Saquon Barkley,RB,NYG,1997-02-09
Michael Thomas,WR,NO,1993-03-03
Courtland Sutton,WR,DEN,1995-10-10
Dak Prescott,QB,DAL,1993-07-29
Odell Beckham Jr.,WR,CLE,1992-11-05
Will Fuller V,WR,MIA,1994-04-16
Joe Burrow,QB,CIN,1996-12-10
Raheem Mostert,RB,SF,1992-04-09
Zack Moss,RB,BUF,1997-12-15
Najee Harris,RB,FA,1998-03-09
Travis Etienne,RB,FA,1999-01-26
Tarik Cohen,RB,CHI,1995-07-26
Ja'Marr Chase,WR,FA,2000-03-01
Kyle Pitts,TE,FA,2000-10-06
Parris Campbell,WR,IND,1997-07-16
Trevor Lawrence,QB,FA,1999-10-06
Devonta Smith,WR,FA,1998-11-14
Blake Jarwin,TE,DAL,1994-07-16
Justin Fields,QB,FA,1999-03-05
Kenny Gainwell,RB,FA,1999-03-14
Javonte Williams,RB,FA,2000-04-25
Rashod Bateman,WR,FA,1999-11-29
Jaylen Waddle,WR,FA,1998-11-25
Marlon Mack,RB,IND,1996-03-07
Adam Trautman,TE,NO,1997-02-05
O.J. Howard,TE,TB,1994-11-19
Chuba Hubbard,RB,FA,1999-06-11
Rondale Moore,WR,FA,2000-06-09
Zach Wilson,QB,FA,1999-08-03
Jimmy Garoppolo,QB,SF,1991-11-02
Terrace Marshall Jr.,WR,FA,2000-06-09
Amon-Ra St. Brown,WR,FA,1999-10-24
Pat Freiermuth,TE,FA,1998-10-25
Brevin Jordan,TE,FA,2000-07-16
Tyler Johnson,WR,TB,1998-08-25
Trey Lance,QB,FA,2000-05-09
Michael Carter,RB,FA,1999-05-07
Dan Bailey,K,FA,1988-01-26
Albert Okwuegbunam,TE,DEN,1998-04-25
Jermar Jefferson,RB,FA,2000-04-15
Brett Maher,K,FA,1989-11-21
Kadarius Toney,WR,FA,1999-01-27
Trey Sermon,RB,FA,1999-01-30
Elijah Moore,WR,FA,2000-03-27
Tylan Wallace,WR,FA,1999-05-13
Damien Williams,RB,FA,1992-04-03
Dyami Brown,WR,FA,1999-11-01
Kylin Hill,RB,FA,1998-08-18
Mac Jones,QB,FA,1998-09-05
Adam Vinatieri,K,FA,1972-12-28
Matt Bryant,K,FA,1975-05-29
Stephen Hauschka,K,FA,1985-06-29
Tamorrion Terry,WR,FA,1998-03-21
D'Wayne Eskridge,WR,FA,1997-03-23
Josh Lambo,K,JAC,1990-11-19
Auden Tate,WR,CIN,1997-02-03
Rhamondre Stevenson,RB,FA,1998-02-23
Randy Bullock,K,DET,1989-12-16
Tutu Atwell,WR,FA,1999-10-07
Ryquell Armstead,RB,JAC,1996-10-30
Dede Westbrook,WR,JAC,1993-11-21
Seth Williams,WR,FA,
Jalen Hurd,WR,SF,1996-01-24
JaMycal Hasty,RB,SF,1996-09-12
Donald Parham Jr.,TE,LAC,1997-08-16
Elijah Mitchell,RB,FA,
Jaret Patterson,RB,FA,1999-12-23
Antonio Gandy-Golden,WR,WAS,1998-04-11
Jordan Love,QB,GB,1998-11-02
Khalil Herbert,RB,FA,
Devin Asiasi,TE,NE,1997-08-14
Kyle Trask,QB,FA,1998-03-06
JJ Arcega-Whiteside,WR,PHI,1996-12-31
Marquez Stevenson,WR,FA,
Shi Smith,WR,FA,1998-10-26
Amari Rodgers,WR,FA,1999-09-23
Foster Moreau,TE,LV,1997-05-06
Josh Oliver,TE,BAL,1997-03-21
Larry Rountree III,RB,FA,
Demetric Felton,WR,FA,1998-07-16
Nico Collins,WR,FA,1999-03-19
Kelvin Harmon,WR,WAS,1997-12-15
Sage Surratt,WR,FA,1998-04-13
Javian Hawkins,RB,FA,
Anthony Schwartz,WR,FA,2000-09-05
Rex Burkhead,RB,NE,1990-07-02
Tyrell Williams,WR,DET,1992-04-12
Marlon Williams,WR,FA,
Hunter Long,TE,FA,
Kahale Warring,TE,HOU,1997-03-23
Jaelon Darden,WR,FA,
Rakeem Boyd,RB,FA,
Brycen Hopkins,TE,LAR,1997-03-27
Aldrick Rosas,K,JAC,1994-12-30
Dante Pettis,WR,NYG,1995-10-23
Cade Johnson,WR,FA,
Derrius Guice,RB,FA,1997-06-21
Trevon Grimes,WR,FA,
Deonte Harris,WR,NO,1997-12-04
Jamie Newman,QB,FA,1997-12-01
Tyler Vaughns,WR,FA,1997-06-01
Hakeem Butler,WR,PHI,1996-05-16
Lamar Miller,RB,WAS,1991-04-25
C.J. Uzomah,TE,CIN,1993-01-14
KeeSean Johnson,WR,ARI,1996-10-09
Dazz Newsome,WR,FA,1999-05-15
Kenny Yeboah,TE,FA,1998-10-30
Warren Jackson,WR,FA,
Chris Evans,RB,FA,1997-10-05
Michael Carter,TE,FA,
Kyle Allen,QB,WAS,1996-03-08
Freddie Swain,WR,SEA,1998-08-04
Dalton Keene,TE,NE,1999-04-14
Isaiah McKenzie,WR,BUF,1995-04-09
Chandler Catanzaro,K,FA,1991-02-26
John Hightower,WR,PHI,1996-05-31
Pooka Williams,RB,FA,
Robert Griffin III,QB,FA,1990-02-12
Kaden Smith,TE,NYG,1997-04-24
Jacob Eason,QB,IND,1997-11-17
Quez Watkins,WR,PHI,1998-06-09
Zay Jones,WR,LV,1995-03-30
Geronimo Allison,WR,DET,1994-01-18
Devin Funchess,WR,GB,1994-05-21
Phillip Walker,QB,CAR,1995-02-26
Ryan Griffin,TE,NYJ,1990-01-11
Bo Scarbrough,RB,SEA,1996-09-29
Chris Conley,WR,HOU,1992-10-25
Ihmir Smith-Marsette,WR,FA,1999-08-29
Mason Rudolph,QB,PIT,1995-07-17
John Wolford,QB,LAR,1995-10-16
Isaiah Coulter,WR,HOU,1998-09-18
Taylor Heinicke,QB,WAS,1993-03-15
Ashton Dulin,WR,IND,1997-05-15
Kellen Mond,QB,FA,1999-06-22
Cedrick Wilson,WR,DAL,1995-11-20
Maxx Williams,TE,ARI,1994-04-12
Jason Huntley,RB,PHI,1998-04-20
Albert Wilson,WR,MIA,1992-07-12
Ricky Seals-Jones,TE,KC,1995-03-15
Chad Henne,QB,KC,1985-07-02
K.J. Hill,WR,LAC,1997-09-15
Jaeden Graham,TE,ATL,1995-10-10
Lil'Jordan Humphrey,WR,NO,1998-04-19
Hunter Bryant,TE,DET,1998-08-20
Cornell Powell,WR,FA,1997-10-30
Equanimeous St. Brown,WR,GB,1996-09-30
Robert Foster,WR,MIA,1994-05-07
Damonte Coxie,WR,FA,
Josiah Deguara,TE,GB,1997-02-14
Tyler Kroft,TE,NYJ,1992-10-15
Deon Cain,WR,BAL,1996-08-09
Phillip Dorsett II,WR,JAC,1993-01-05
Stephen Anderson,TE,LAC,1993-01-30
Trey Quinn,WR,LV,1995-12-07
Colby Parkinson,TE,SEA,1999-01-08
Jared Pinkney,TE,TEN,1997-08-21
Stevie Scott III,RB,FA,
Raymond Calais,RB,LAR,1998-04-02
Taylor Gabriel,WR,FA,1991-02-17
Byron Pringle,WR,KC,1993-11-17
Kylen Granson,TE,FA,
Chad Beebe,WR,MIN,1994-06-01
Frank Darby,WR,FA,
Jason Witten,TE,LV,1982-05-06
Jonathan Williams,RB,WAS,1994-02-02
Donte Moncrief,WR,HOU,1993-08-06
Justin Watson,WR,TB,1996-04-04
Ian Book,QB,FA,1998-03-30
Theo Riddick,RB,LV,1991-05-04
Nick Mullens,QB,FA,1995-03-21
Jake Fromm,QB,BUF,1998-07-30
